teamId,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11
0,1:A:M,1:H:M,5:H:M,2:A:L,BYE,2:H:M,9:H:D,3:H:S,4:H:M,7:H:D,8:H:M,6:H:M
1,0:H:M,0:A:M,2:H:D,9:H:M,7:H:J,3:H:M,2:A:L,6:H:M,5:H:S,8:H:J,4:H:D,BYE
2,9:H:L,3:H:M,1:A:D,0:H:L,8:H:M,0:A:M,1:H:L,5:H:L,7:H:D,4:H:D,6:H:M,BYE
3,7:H:S,2:A:M,6:H:M,8:H:J,5:H:S,1:A:M,4:A:L,0:A:S,9:H:L,5:A:M,BYE,4:H:J
4,5:A:M,9:H:S,7:H:J,5:H:J,6:H:M,8:H:M,3:H:L,BYE,0:A:M,2:A:D,1:A:D,3:A:J
5,4:H:M,BYE,0:A:M,4:A:J,3:A:S,6:H:S,8:H:J,2:A:L,1:A:S,3:H:M,7:H:J,9:H:M
6,8:A:M,8:H:D,3:A:M,7:A:M,4:A:M,5:A:S,7:H:L,1:A:M,BYE,9:H:M,2:A:M,0:A:M
7,3:A:S,10:H:D,4:A:J,6:H:M,1:A:J,BYE,6:A:L,8:A:M,2:A:D,0:A:D,5:A:J,8:H:J
8,6:H:M,6:A:D,10:H:J,3:A:J,2:A:M,4:A:M,5:A:J,7:H:M,BYE,1:A:J,0:A:M,7:A:J
9,2:A:L,4:A:S,11:H:M,1:A:M,10:A:J,10:H:D,0:A:D,11:A:S,3:A:L,6:A:M,BYE,5:A:M
10,22:A:J,7:A:D,8:A:J,11:H:M,9:H:J,9:A:D,BYE,23:H:L,22:H:M,11:A:M,11:A:M,23:A:S
11,23:H:S,BYE,9:A:M,10:A:M,23:A:L,23:H:S,22:H:M,9:H:S,23:H:M,10:H:M,10:H:M,22:A:S
12,15:H:J,13:A:M,16:H:M,14:H:M,BYE,18:H:S,13:H:M,17:H:S,21:H:J,14:A:M,20:H:S,19:H:M
13,14:H:D,12:H:M,18:H:J,19:H:L,16:H:L,BYE,12:A:M,14:A:S,20:H:S,21:H:L,15:H:L,17:H:J
14,13:A:D,18:H:L,19:H:M,12:A:M,15:H:D,20:H:S,21:H:L,13:H:S,BYE,12:H:M,17:H:D,16:H:D
15,12:A:J,20:H:M,17:H:M,17:A:L,14:A:D,16:A:M,19:H:S,16:H:S,BYE,18:H:D,13:A:L,21:H:J
16,17:H:J,21:H:J,12:A:M,18:H:S,13:A:L,15:H:M,17:A:J,15:A:S,19:H:L,20:H:D,BYE,14:A:D
17,16:A:J,19:H:D,15:A:M,15:H:L,20:H:M,21:H:M,16:H:J,12:A:S,18:H:J,BYE,14:A:D,13:A:J
18,21:H:M,14:A:L,13:A:J,16:A:S,19:H:M,12:A:S,20:A:S,BYE,17:A:J,15:A:D,19:A:D,20:H:J
19,20:H:L,17:A:D,14:A:M,13:A:L,18:A:M,22:H:M,15:A:S,20:A:J,16:A:L,BYE,18:H:D,12:A:M
20,19:A:L,15:A:M,22:H:M,BYE,17:A:M,14:A:S,18:H:S,19:H:J,13:A:S,16:A:D,12:A:S,18:A:J
21,18:A:M,16:A:J,23:A:J,23:H:J,22:A:L,17:A:M,14:A:L,22:H:L,12:A:J,13:A:L,BYE,15:A:J
22,10:H:J,23:A:D,20:A:M,BYE,21:H:L,19:A:M,11:A:M,21:A:L,10:A:M,23:H:M,23:A:D,11:H:S
23,11:A:S,22:H:D,21:H:J,21:A:J,11:H:L,11:A:S,BYE,10:A:L,11:A:M,22:A:M,22:H:D,10:H:S
