teamId,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11
0,1:A:S,4:H:D,3:H:D,5:H:D,2:H:S,1:H:D,8:H:L,2:A:S,7:H:D,9:H:J,6:H:D,BYE
1,0:H:S,2:H:L,6:H:J,BYE,9:H:S,0:A:D,5:H:M,7:H:M,2:A:M,4:H:D,8:H:D,3:H:J
2,5:H:D,1:A:L,7:H:D,8:H:M,0:A:S,3:H:D,4:H:M,0:H:S,1:H:M,6:H:L,BYE,9:H:M
3,8:H:M,5:H:L,0:A:D,4:A:J,5:A:M,2:A:D,7:H:D,4:H:S,6:H:S,BYE,9:H:M,1:A:J
4,9:H:M,0:A:D,5:H:D,3:H:J,7:H:S,6:H:J,2:A:M,3:A:S,8:H:J,1:A:D,5:A:J,BYE
5,2:A:D,3:A:L,4:A:D,0:A:D,3:H:M,8:H:M,1:A:M,9:H:S,BYE,7:H:M,4:H:J,6:H:M
6,7:H:M,9:H:S,1:A:J,7:A:L,8:A:M,4:A:J,BYE,8:H:D,3:A:S,2:A:L,0:A:D,5:A:M
7,6:A:M,8:H:J,2:A:D,6:H:L,4:A:S,BYE,3:A:D,1:A:M,0:A:D,5:A:M,10:H:S,8:A:M
8,3:A:M,7:A:J,BYE,2:A:M,6:H:M,5:A:M,0:A:L,6:A:D,4:A:J,10:H:D,1:A:D,7:H:M
9,4:A:M,6:A:S,11:H:D,BYE,1:A:S,11:A:S,10:H:M,5:A:S,10:A:D,0:A:J,3:A:M,2:A:M
10,BYE,23:H:S,22:A:J,11:H:M,22:H:L,23:A:D,9:A:M,11:A:M,9:H:D,8:A:D,7:A:S,11:A:M
11,23:H:M,22:A:D,9:A:D,10:A:M,23:A:D,9:H:S,23:H:S,10:H:M,BYE,22:H:D,23:H:S,10:H:M
12,13:H:M,21:H:L,14:H:M,16:H:M,18:H:M,20:H:M,13:A:J,14:A:J,17:H:D,19:H:J,BYE,15:H:L
13,12:A:M,20:H:J,19:H:J,21:H:D,17:H:M,15:H:J,12:H:J,16:H:J,18:H:J,14:A:S,BYE,14:H:D
14,18:H:M,15:H:S,12:A:M,17:H:M,20:H:L,21:H:S,BYE,12:H:J,19:H:D,13:H:S,16:H:S,13:A:D
15,16:H:L,14:A:S,20:H:J,18:H:M,19:H:M,13:A:J,21:H:M,17:A:D,16:A:D,17:H:M,BYE,12:A:L
16,15:A:L,17:A:M,18:H:D,12:A:M,21:H:M,17:H:M,19:H:L,13:A:J,15:H:D,20:H:D,14:A:S,BYE
17,20:H:M,16:H:M,BYE,14:A:M,13:A:M,16:A:M,18:H:D,15:H:D,12:A:D,15:A:M,19:H:M,21:H:J
18,14:A:M,19:A:M,16:A:D,15:A:M,12:A:M,19:H:M,17:A:D,21:H:J,13:A:J,BYE,20:H:D,20:A:M
19,BYE,18:H:M,13:A:J,20:H:M,15:A:M,18:A:M,16:A:L,20:A:D,14:A:D,12:A:J,17:A:M,22:H:S
20,17:A:M,13:A:J,15:A:J,19:A:M,14:A:L,12:A:M,22:H:S,19:H:D,BYE,16:A:D,18:A:D,18:H:M
21,22:A:J,12:A:L,23:A:S,13:A:D,16:A:M,14:A:S,15:A:M,18:A:J,BYE,23:H:M,22:H:M,17:A:J
22,21:H:J,11:H:D,10:H:J,23:A:M,10:A:L,BYE,20:A:S,23:A:L,23:H:D,11:A:D,21:A:M,19:A:S
23,11:A:M,10:A:S,21:H:S,22:H:M,11:H:D,10:H:D,11:A:S,22:H:L,22:A:D,21:A:M,11:A:S,BYE
