run;instance;seed;stop_reason;time_ms;generations;max_generations;pareto_size;stagnation_threshold;stagnation_window;run_dir
1;config/instance_nfl.properties;575346467;stagnation;6500;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p001\corrida_001
2;config/instance_nfl.properties;690022610;stagnation;42932;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p001\corrida_002
3;config/instance_nfl.properties;1424257266;stagnation;30586;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p001\corrida_003
4;config/instance_nfl.properties;760871889;stagnation;26691;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p001\corrida_004
5;config/instance_nfl.properties;890474447;stagnation;23835;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p001\corrida_005
6;config/instance_nfl.properties;1455500169;stagnation;9781;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p001\corrida_006
7;config/instance_nfl.properties;212517704;stagnation;52473;108;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p001\corrida_007
8;config/instance_nfl.properties;934060570;stagnation;7214;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p001\corrida_008
9;config/instance_nfl.properties;1124114628;stagnation;42412;201;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p001\corrida_009
10;config/instance_nfl.properties;765843637;stagnation;7654;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p6_mut0p001\corrida_010
