run;instance;seed;stop_reason;time_ms;generations;max_generations;pareto_size;stagnation_threshold;stagnation_window;run_dir
1;config/instance_nfl_reducido.properties;575346467;stagnation;24125;167;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p001\corrida_001
2;config/instance_nfl_reducido.properties;690022610;stagnation;32707;196;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p001\corrida_002
3;config/instance_nfl_reducido.properties;1424257266;stagnation;61315;234;1000;9;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p001\corrida_003
4;config/instance_nfl_reducido.properties;760871889;stagnation;65186;215;1000;10;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p001\corrida_004
5;config/instance_nfl_reducido.properties;890474447;stagnation;78643;289;1000;7;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p001\corrida_005
6;config/instance_nfl_reducido.properties;1455500169;stagnation;42639;204;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p001\corrida_006
7;config/instance_nfl_reducido.properties;212517704;stagnation;22100;105;1000;5;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p001\corrida_007
8;config/instance_nfl_reducido.properties;934060570;stagnation;34697;220;1000;6;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p001\corrida_008
9;config/instance_nfl_reducido.properties;1124114628;stagnation;41386;136;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p001\corrida_009
10;config/instance_nfl_reducido.properties;765843637;stagnation;39098;191;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p001\corrida_010
11;config/instance_nfl_reducido.properties;1502474994;stagnation;16690;105;1000;5;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p001\corrida_011
12;config/instance_nfl_reducido.properties;1349829717;stagnation;35388;188;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p001\corrida_012
13;config/instance_nfl_reducido.properties;1493661747;stagnation;25017;136;1000;5;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p001\corrida_013
14;config/instance_nfl_reducido.properties;734959693;stagnation;28132;147;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p001\corrida_014
15;config/instance_nfl_reducido.properties;891998443;stagnation;38020;158;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p001\corrida_015
16;config/instance_nfl_reducido.properties;1660981312;stagnation;48049;235;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_reducido_batch\pop100_cx0p7_mut0p001\corrida_016
