run;instance;seed;stop_reason;time_ms;generations;max_generations;pareto_size;stagnation_threshold;stagnation_window;run_dir
1;config/instance_nfl_intermedia.properties;575346467;stagnation;5618;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p8_mut0p001\corrida_001
2;config/instance_nfl_intermedia.properties;690022610;stagnation;5405;113;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p8_mut0p001\corrida_002
3;config/instance_nfl_intermedia.properties;1424257266;stagnation;4588;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p8_mut0p001\corrida_003
4;config/instance_nfl_intermedia.properties;760871889;stagnation;6852;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p8_mut0p001\corrida_004
5;config/instance_nfl_intermedia.properties;890474447;stagnation;6660;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p8_mut0p001\corrida_005
6;config/instance_nfl_intermedia.properties;1455500169;stagnation;7572;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p8_mut0p001\corrida_006
7;config/instance_nfl_intermedia.properties;212517704;stagnation;5037;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p8_mut0p001\corrida_007
8;config/instance_nfl_intermedia.properties;934060570;stagnation;4089;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p8_mut0p001\corrida_008
9;config/instance_nfl_intermedia.properties;1124114628;stagnation;18195;193;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p8_mut0p001\corrida_009
10;config/instance_nfl_intermedia.properties;765843637;stagnation;4701;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p8_mut0p001\corrida_010
11;config/instance_nfl_intermedia.properties;1502474994;stagnation;29927;126;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p8_mut0p001\corrida_011
12;config/instance_nfl_intermedia.properties;1349829717;stagnation;5501;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p8_mut0p001\corrida_012
13;config/instance_nfl_intermedia.properties;1493661747;stagnation;4622;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p8_mut0p001\corrida_013
14;config/instance_nfl_intermedia.properties;734959693;stagnation;4605;102;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p8_mut0p001\corrida_014
15;config/instance_nfl_intermedia.properties;891998443;stagnation;63274;246;1000;8;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p8_mut0p001\corrida_015
