teamId,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11
0,2:A:M,4:H:S,9:H:J,6:H:J,3:H:D,1:H:D,7:H:S,5:H:J,BYE,2:H:S,1:A:S,8:H:M
1,5:H:D,8:H:L,3:H:L,2:H:M,2:A:M,0:A:D,4:H:M,BYE,6:H:L,9:H:M,0:H:S,7:H:J
2,0:H:M,3:H:S,8:H:D,1:A:M,1:H:M,5:H:S,BYE,4:H:D,9:H:D,0:A:S,7:H:D,6:H:S
3,9:H:M,2:A:S,1:A:L,5:A:L,0:A:D,4:A:M,5:H:D,8:H:J,7:H:M,4:H:M,6:H:D,BYE
4,7:H:D,0:A:S,6:H:M,8:H:S,9:H:J,3:H:M,1:A:M,2:A:D,5:H:M,3:A:M,BYE,5:A:M
5,1:A:D,9:H:M,7:H:J,3:H:L,6:H:M,2:A:S,3:A:D,0:A:J,4:A:M,BYE,8:H:M,4:H:M
6,8:A:M,BYE,4:A:M,0:A:J,5:A:M,9:H:S,8:H:S,7:A:D,1:A:L,7:H:M,3:A:D,2:A:S
7,4:A:D,10:H:L,5:A:J,BYE,8:H:D,8:A:M,0:A:S,6:H:D,3:A:M,6:A:M,2:A:D,1:A:J
8,6:H:M,1:A:L,2:A:D,4:A:S,7:A:D,7:H:M,6:A:S,3:A:J,10:H:M,BYE,5:A:M,0:A:M
9,3:A:M,5:A:M,0:A:J,11:H:D,4:A:J,6:A:S,11:A:M,10:A:S,2:A:D,1:A:M,BYE,10:H:M
10,22:H:J,7:A:L,11:A:D,BYE,23:A:D,22:A:L,23:H:J,9:H:S,8:A:M,11:A:S,11:H:S,9:A:M
11,23:H:J,22:A:L,10:H:D,9:A:D,22:H:D,BYE,9:H:M,23:H:J,23:H:D,10:H:S,10:A:S,23:A:J
12,16:H:J,21:H:J,17:H:M,20:H:M,14:A:D,13:H:M,14:H:D,19:H:L,15:H:S,13:A:M,18:H:M,BYE
13,17:H:M,14:H:L,21:H:J,19:H:D,20:H:M,12:A:M,18:H:M,14:A:L,16:H:M,12:H:M,BYE,15:H:D
14,18:H:S,13:A:L,16:H:S,21:H:L,12:H:D,BYE,12:A:D,13:H:L,17:H:M,20:H:M,15:H:S,19:H:D
15,21:H:S,20:H:M,19:H:J,17:H:M,18:H:L,16:A:D,16:H:M,17:A:L,12:A:S,BYE,14:A:S,13:A:D
16,12:A:J,17:H:M,14:A:S,18:H:M,21:H:M,15:H:D,15:A:M,20:H:L,13:A:M,17:A:L,19:H:S,BYE
17,13:A:M,16:A:M,12:A:M,15:A:M,19:H:D,18:H:M,20:H:S,15:H:L,14:A:M,16:H:L,21:H:M,BYE
18,14:A:S,19:H:M,20:H:L,16:A:M,15:A:L,17:A:M,13:A:M,BYE,21:H:S,19:A:M,12:A:M,20:A:M
19,20:A:M,18:A:M,15:A:J,13:A:D,17:A:D,20:H:L,22:H:M,12:A:L,BYE,18:H:M,16:A:S,14:A:D
20,19:H:M,15:A:M,18:A:L,12:A:M,13:A:M,19:A:L,17:A:S,16:A:L,22:H:L,14:A:M,BYE,18:H:M
21,15:A:S,12:A:J,13:A:J,14:A:L,16:A:M,23:H:M,BYE,22:H:J,18:A:S,23:A:S,17:A:M,22:A:D
22,10:A:J,11:H:L,23:H:D,23:A:M,11:A:D,10:H:L,19:A:M,21:A:J,20:A:L,BYE,23:A:L,21:H:D
23,11:A:J,BYE,22:A:D,22:H:M,10:H:D,21:A:M,10:A:J,11:A:J,11:A:D,21:H:S,22:H:L,11:H:J
