teamId,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11
0,2:H:M,6:H:M,9:H:M,1:A:L,3:H:D,2:A:M,4:H:M,5:H:J,BYE,7:H:S,1:H:M,8:H:L
1,BYE,7:H:D,6:H:M,0:H:L,9:H:M,3:H:M,8:H:S,2:A:J,5:H:S,2:H:M,0:A:M,4:H:L
2,0:A:M,9:H:L,4:H:M,6:H:M,5:H:S,0:H:M,BYE,1:H:J,8:H:M,1:A:M,3:H:S,7:H:S
3,6:H:J,8:H:M,5:H:M,4:A:J,0:A:D,1:A:M,7:H:M,4:H:M,BYE,9:H:J,2:A:S,5:A:J
4,7:H:S,5:A:M,2:A:M,3:H:J,BYE,8:H:L,0:A:M,3:A:M,9:H:M,6:H:S,5:H:M,1:A:L
5,9:H:D,4:H:M,3:A:M,BYE,2:A:S,7:H:D,6:H:D,0:A:J,1:A:S,8:H:S,4:A:M,3:H:J
6,3:A:J,0:A:M,1:A:M,2:A:M,7:A:D,BYE,5:A:D,8:A:S,7:H:D,4:A:S,8:H:J,9:H:M
7,4:A:S,1:A:D,8:H:L,8:A:D,6:H:D,5:A:D,3:A:M,10:H:M,6:A:D,0:A:S,BYE,2:A:S
8,10:H:L,3:A:M,7:A:L,7:H:D,BYE,4:A:L,1:A:S,6:H:S,2:A:M,5:A:S,6:A:J,0:A:L
9,5:A:D,2:A:L,0:A:M,10:A:S,1:A:M,11:H:M,10:H:L,11:A:M,4:A:M,3:A:J,BYE,6:A:M
10,8:A:L,22:H:S,11:A:L,9:H:S,22:A:J,BYE,9:A:L,7:A:M,23:A:S,23:H:M,11:A:D,11:H:J
11,23:A:D,BYE,10:H:L,23:H:M,23:H:D,9:A:M,23:H:M,9:H:M,22:A:D,22:H:D,10:H:D,10:A:J
12,20:H:D,17:H:M,18:H:M,14:H:M,15:H:D,21:H:L,19:H:D,14:A:S,16:H:D,BYE,13:H:J,13:A:M
13,19:H:M,15:H:M,14:H:L,BYE,20:H:M,16:H:D,21:H:M,17:H:M,14:A:M,18:H:L,12:A:J,12:H:M
14,16:H:D,18:H:D,13:A:L,12:A:M,21:H:S,15:H:J,17:H:M,12:H:S,13:H:M,BYE,19:H:M,20:H:S
15,17:H:D,13:A:M,19:H:M,21:H:J,12:A:D,14:A:J,18:H:D,16:A:D,BYE,16:H:L,20:H:J,17:A:M
16,14:A:D,19:H:J,21:H:D,17:A:J,18:H:L,13:A:D,20:H:L,15:H:D,12:A:D,15:A:L,17:H:D,BYE
17,15:A:D,12:A:M,20:H:M,16:H:J,19:H:D,BYE,14:A:M,13:A:M,18:H:S,21:H:L,16:A:D,15:H:M
18,BYE,14:A:D,12:A:M,20:H:M,16:A:L,20:A:D,15:A:D,19:H:J,17:A:S,13:A:L,21:H:S,19:A:S
19,13:A:M,16:A:J,15:A:M,22:H:L,17:A:D,BYE,12:A:D,18:A:J,20:A:M,20:H:M,14:A:M,18:H:S
20,12:A:D,BYE,17:A:M,18:A:M,13:A:M,18:H:D,16:A:L,22:H:M,19:H:M,19:A:M,15:A:J,14:A:S
21,22:A:M,23:H:M,16:A:D,15:A:J,14:A:S,12:A:L,13:A:M,23:A:J,BYE,17:A:L,18:A:S,22:H:M
22,21:H:M,10:A:S,23:A:J,19:A:L,10:H:J,23:H:D,BYE,20:A:M,11:H:D,11:A:D,23:A:L,21:A:M
23,11:H:D,21:A:M,22:H:J,11:A:M,11:A:D,22:A:D,11:A:M,21:H:J,10:H:S,10:A:M,22:H:L,BYE
