run;instance;seed;stop_reason;time_ms;generations;max_generations;pareto_size;stagnation_threshold;stagnation_window;run_dir
1;config/instance_nfl_intermedia.properties;575346467;stagnation;2824;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop100_cx0p6_mut0p01\corrida_001
2;config/instance_nfl_intermedia.properties;690022610;stagnation;2233;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop100_cx0p6_mut0p01\corrida_002
3;config/instance_nfl_intermedia.properties;1424257266;stagnation;2589;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop100_cx0p6_mut0p01\corrida_003
4;config/instance_nfl_intermedia.properties;760871889;stagnation;5018;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop100_cx0p6_mut0p01\corrida_004
5;config/instance_nfl_intermedia.properties;890474447;stagnation;3393;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop100_cx0p6_mut0p01\corrida_005
6;config/instance_nfl_intermedia.properties;1455500169;stagnation;3047;109;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop100_cx0p6_mut0p01\corrida_006
7;config/instance_nfl_intermedia.properties;212517704;stagnation;2189;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop100_cx0p6_mut0p01\corrida_007
8;config/instance_nfl_intermedia.properties;934060570;stagnation;2080;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop100_cx0p6_mut0p01\corrida_008
9;config/instance_nfl_intermedia.properties;1124114628;stagnation;10853;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop100_cx0p6_mut0p01\corrida_009
10;config/instance_nfl_intermedia.properties;765843637;stagnation;37737;284;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop100_cx0p6_mut0p01\corrida_010
11;config/instance_nfl_intermedia.properties;1502474994;stagnation;25528;187;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop100_cx0p6_mut0p01\corrida_011
