id;f1_distancia;f2_inequidad
0;196479.10000000003;0.356682242650545
1;216710.1100000001;0.19144008346100247
2;210814.41000000018;0.20138409955990952
3;201499.77000000002;0.24745229618835407
4;198227.05000000002;0.2565462379810357
5;196489.93000000002;0.3353066589788452
6;197051.14;0.2943625410196678
7;198091.74000000002;0.2761025876171553
8;196915.83000000002;0.3106612571059783
9;196905.00000000003;0.32443861771784627
10;198080.91000000003;0.28647159060231825
11;197842.07000000004;0.28999521068842193
12;196666.16000000003;0.3287180487219337
