teamId,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11
0,2:H:S,1:H:D,3:H:S,6:H:M,9:H:D,8:H:S,7:H:M,1:A:M,2:A:D,BYE,5:H:L,4:H:S
1,7:H:M,0:A:D,2:H:S,9:H:J,BYE,6:H:D,2:A:J,0:H:M,5:H:J,4:H:M,3:H:J,8:H:D
2,0:A:S,6:H:D,1:A:S,7:H:S,3:H:D,BYE,1:H:J,9:H:M,0:H:D,8:H:S,4:H:L,5:H:M
3,6:H:L,8:H:S,0:A:S,4:A:J,2:A:D,9:H:J,5:H:S,7:H:S,4:H:L,5:A:S,1:A:J,BYE
4,8:H:S,9:H:L,6:H:J,3:H:J,7:H:L,5:H:D,BYE,5:A:J,3:A:L,1:A:M,2:A:L,0:A:S
5,9:H:M,7:H:L,8:H:S,BYE,6:H:J,4:A:D,3:A:S,4:H:J,1:A:J,3:H:S,0:A:L,2:A:M
6,3:A:L,2:A:D,4:A:J,0:A:M,5:A:J,1:A:D,8:A:M,8:H:D,9:H:D,7:H:M,BYE,7:A:L
7,1:A:M,5:A:L,BYE,2:A:S,4:A:L,10:H:S,0:A:M,3:A:S,8:H:L,6:A:M,8:A:S,6:H:L
8,4:A:S,3:A:S,5:A:S,BYE,10:H:M,0:A:S,6:H:M,6:A:D,7:A:L,2:A:S,7:H:S,1:A:D
9,5:A:M,4:A:L,10:A:M,1:A:J,0:A:D,3:A:J,BYE,2:A:M,6:A:D,11:A:M,11:H:D,10:H:M
10,11:A:M,11:A:D,9:H:M,22:H:L,8:A:M,7:A:S,23:H:D,11:H:J,22:A:M,23:A:M,BYE,9:A:M
11,10:H:M,10:H:D,23:H:D,23:H:L,22:H:D,BYE,22:A:D,10:A:J,23:A:L,9:H:M,9:A:D,23:H:D
12,14:H:M,17:H:M,BYE,21:H:D,20:H:M,18:H:S,16:H:S,13:H:L,19:H:J,15:H:M,14:A:J,13:A:M
13,15:H:M,14:H:M,20:H:J,16:H:S,19:H:J,BYE,18:H:S,12:A:L,17:H:S,14:A:M,21:H:M,12:H:M
14,12:A:M,13:A:M,15:H:S,19:H:J,17:H:D,BYE,20:H:M,18:H:J,16:H:L,13:H:M,12:H:J,21:H:L
15,13:A:M,18:H:S,14:A:S,17:H:M,16:H:M,20:H:M,19:H:M,17:A:D,21:H:M,12:A:M,BYE,16:A:D
16,21:H:M,19:H:L,17:H:J,13:A:S,15:A:M,17:A:L,12:A:S,BYE,14:A:L,18:H:M,20:H:J,15:H:D
17,18:H:L,12:A:M,16:A:J,15:A:M,14:A:D,16:H:L,21:H:L,15:H:D,13:A:S,20:H:L,BYE,19:H:J
18,17:A:L,15:A:S,19:A:J,BYE,21:H:D,12:A:S,13:A:S,14:A:J,20:A:J,16:A:M,19:H:M,20:H:L
19,20:H:L,16:A:L,18:H:J,14:A:J,13:A:J,22:H:L,15:A:M,20:A:D,12:A:J,BYE,18:A:M,17:A:J
20,19:A:L,22:H:M,13:A:J,BYE,12:A:M,15:A:M,14:A:M,19:H:D,18:H:J,17:A:L,16:A:J,18:A:L
21,16:A:M,23:H:M,22:H:L,12:A:D,18:A:D,23:A:M,17:A:L,BYE,15:A:M,22:A:M,13:A:M,14:A:L
22,23:A:J,20:A:M,21:A:L,10:A:L,11:A:D,19:A:L,11:H:D,23:A:L,10:H:M,21:H:M,23:H:S,BYE
23,22:H:J,21:A:M,11:A:D,11:A:L,BYE,21:H:M,10:A:D,22:H:L,11:H:L,10:H:M,22:A:S,11:A:D
