run;instance;seed;stop_reason;time_ms;generations;max_generations;pareto_size;stagnation_threshold;stagnation_window;run_dir
1;config/instance_nfl_intermedia.properties;575346467;stagnation;21208;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_001
2;config/instance_nfl_intermedia.properties;690022610;stagnation;4847;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_002
3;config/instance_nfl_intermedia.properties;1424257266;stagnation;3529;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_003
4;config/instance_nfl_intermedia.properties;760871889;stagnation;15881;191;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_004
5;config/instance_nfl_intermedia.properties;890474447;stagnation;4253;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_005
6;config/instance_nfl_intermedia.properties;1455500169;stagnation;4331;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_006
7;config/instance_nfl_intermedia.properties;212517704;stagnation;4095;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_007
8;config/instance_nfl_intermedia.properties;934060570;stagnation;3581;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_008
9;config/instance_nfl_intermedia.properties;1124114628;stagnation;8516;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_009
10;config/instance_nfl_intermedia.properties;765843637;stagnation;3509;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_010
11;config/instance_nfl_intermedia.properties;1502474994;stagnation;20272;113;1000;6;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_011
12;config/instance_nfl_intermedia.properties;1349829717;stagnation;36684;173;1000;7;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_012
13;config/instance_nfl_intermedia.properties;1493661747;stagnation;4649;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_013
14;config/instance_nfl_intermedia.properties;734959693;stagnation;21772;156;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_014
15;config/instance_nfl_intermedia.properties;891998443;stagnation;33517;182;1000;8;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_015
16;config/instance_nfl_intermedia.properties;1660981312;stagnation;4396;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_016
17;config/instance_nfl_intermedia.properties;1830451251;stagnation;15186;145;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_017
18;config/instance_nfl_intermedia.properties;1233644345;stagnation;5423;110;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_018
19;config/instance_nfl_intermedia.properties;1063465592;stagnation;4051;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_019
20;config/instance_nfl_intermedia.properties;606122930;stagnation;6937;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_020
21;config/instance_nfl_intermedia.properties;835500794;stagnation;13389;100;1000;8;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_021
22;config/instance_nfl_intermedia.properties;1001915945;stagnation;6939;114;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_022
23;config/instance_nfl_intermedia.properties;735627957;stagnation;5294;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_023
24;config/instance_nfl_intermedia.properties;495675644;stagnation;4796;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_024
25;config/instance_nfl_intermedia.properties;550785070;stagnation;3486;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_025
26;config/instance_nfl_intermedia.properties;1498800289;stagnation;4623;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_026
27;config/instance_nfl_intermedia.properties;937933140;stagnation;4852;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_027
28;config/instance_nfl_intermedia.properties;1270431010;stagnation;6018;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_028
29;config/instance_nfl_intermedia.properties;484442342;stagnation;7331;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_029
30;config/instance_nfl_intermedia.properties;1709348956;stagnation;25639;234;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p01\corrida_030
