teamId,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11
0,BYE,9:H:L,5:H:D,2:H:J,8:H:M,1:H:D,1:A:L,7:H:M,6:H:L,4:H:D,2:A:D,3:H:M
1,2:H:S,2:A:J,BYE,8:H:D,3:H:M,0:A:D,0:H:L,5:H:J,9:H:S,7:H:D,6:H:S,4:H:L
2,1:A:S,1:H:J,3:H:L,0:A:J,7:H:J,4:H:J,8:H:D,9:H:L,5:H:M,BYE,0:H:D,6:H:M
3,5:H:D,7:H:S,2:A:L,4:A:J,1:A:M,6:H:M,4:H:J,8:H:M,BYE,5:A:D,9:H:S,0:A:M
4,9:H:J,5:H:M,BYE,3:H:J,5:A:L,2:A:J,3:A:J,6:H:L,8:H:L,0:A:D,7:H:J,1:A:L
5,3:A:D,4:A:M,0:A:D,6:H:M,4:H:L,7:H:J,9:H:D,1:A:J,2:A:M,3:H:D,8:H:D,BYE
6,7:H:D,8:H:M,9:H:J,5:A:M,BYE,3:A:M,7:A:S,4:A:L,0:A:L,8:A:D,1:A:S,2:A:M
7,6:A:D,3:A:S,8:H:J,10:H:M,2:A:J,5:A:J,6:H:S,0:A:M,BYE,1:A:D,4:A:J,8:A:M
8,10:H:S,6:A:M,7:A:J,1:A:D,0:A:M,BYE,2:A:D,3:A:M,4:A:L,6:H:D,5:A:D,7:H:M
9,4:A:J,0:A:L,6:A:J,11:H:J,BYE,11:A:L,5:A:D,2:A:L,1:A:S,10:A:D,3:A:S,10:H:M
10,8:A:S,BYE,11:H:S,7:A:M,11:A:D,23:A:L,22:A:L,22:H:M,23:H:S,9:H:D,11:A:S,9:A:M
11,22:H:S,BYE,10:A:S,9:A:J,10:H:D,9:H:L,23:H:L,23:A:M,22:A:M,23:H:S,10:H:S,23:H:L
12,BYE,21:H:L,13:H:S,20:H:L,16:H:M,15:H:D,14:H:D,14:A:S,18:H:L,19:H:L,13:A:D,17:H:M
13,17:H:S,19:H:J,12:A:S,18:H:D,14:H:D,14:A:M,20:H:D,16:H:M,21:H:D,BYE,12:H:D,15:H:M
14,19:H:M,20:H:M,18:H:J,21:H:S,13:A:D,13:H:M,12:A:D,12:H:S,16:H:M,15:H:J,17:H:J,BYE
15,16:A:J,17:H:S,21:H:M,19:H:D,BYE,12:A:D,16:H:M,20:H:J,17:A:M,14:A:J,18:H:D,13:A:M
16,15:H:J,18:H:J,17:H:S,17:A:D,12:A:M,20:H:S,15:A:M,13:A:M,14:A:M,BYE,19:H:D,21:H:J
17,13:A:S,15:A:S,16:A:S,16:H:D,19:H:J,18:H:S,21:H:L,BYE,15:H:M,20:H:S,14:A:J,12:A:M
18,20:H:S,16:A:J,14:A:J,13:A:D,20:A:M,17:A:S,19:A:L,21:H:M,12:A:L,BYE,15:A:D,19:H:L
19,14:A:M,13:A:J,20:H:J,15:A:D,17:A:J,22:H:S,18:H:L,BYE,20:A:D,12:A:L,16:A:D,18:A:L
20,18:A:S,14:A:M,19:A:J,12:A:L,18:H:M,16:A:S,13:A:D,15:A:J,19:H:D,17:A:S,BYE,22:H:M
21,23:H:D,12:A:L,15:A:M,14:A:S,23:A:M,BYE,17:A:L,18:A:M,13:A:D,22:A:L,22:H:D,16:A:J
22,11:A:S,23:H:M,23:A:J,23:A:D,BYE,19:A:S,10:H:L,10:A:M,11:H:M,21:H:L,21:A:D,20:A:M
23,21:A:D,22:A:M,22:H:J,22:H:D,21:H:M,10:H:L,11:A:L,11:H:M,10:A:S,11:A:S,BYE,11:A:L
