teamId,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11
0,1:H:J,3:H:J,9:H:D,6:H:S,2:H:L,BYE,7:H:D,4:H:M,1:A:J,8:H:L,2:A:S,5:H:J
1,0:A:J,4:H:M,2:H:S,9:H:S,BYE,2:A:J,8:H:S,6:H:S,0:H:J,5:H:D,7:H:M,3:H:L
2,9:H:M,5:H:M,1:A:S,7:H:M,0:A:L,1:H:J,4:H:M,3:H:L,8:H:L,6:H:S,0:H:S,BYE
3,8:H:L,0:A:J,7:H:M,4:H:M,5:H:M,9:H:J,6:H:M,2:A:L,BYE,4:A:J,5:A:J,1:A:L
4,7:H:L,1:A:M,5:H:M,3:A:M,8:H:L,5:A:S,2:A:M,0:A:M,6:H:M,3:H:J,9:H:D,BYE
5,6:H:S,2:A:M,4:A:M,8:H:L,3:A:M,4:H:S,BYE,9:H:S,7:H:D,1:A:D,3:H:J,0:A:J
6,5:A:S,9:H:M,8:H:M,0:A:S,7:H:L,BYE,3:A:M,1:A:S,4:A:M,2:A:S,8:A:D,7:A:M
7,4:A:L,BYE,3:A:M,2:A:M,6:A:L,8:H:M,0:A:D,8:A:M,5:A:D,10:H:M,1:A:M,6:H:M
8,3:A:L,10:H:M,6:A:M,5:A:L,4:A:L,7:A:M,1:A:S,7:H:M,2:A:L,0:A:L,6:H:D,BYE
9,2:A:M,6:A:M,0:A:D,1:A:S,BYE,3:A:J,11:A:S,5:A:S,10:H:M,11:H:D,4:A:D,10:A:L
10,11:H:M,8:A:M,BYE,23:H:M,22:A:D,22:H:L,23:A:S,11:A:M,9:A:M,7:A:M,11:A:L,9:H:L
11,10:A:M,BYE,22:H:D,22:A:J,23:A:D,23:H:S,9:H:S,10:H:M,23:H:M,9:A:D,10:H:L,23:H:L
12,BYE,17:H:L,14:A:L,13:A:M,16:H:L,13:H:L,20:H:S,14:H:J,15:H:J,19:H:J,21:H:D,18:H:J
13,14:H:S,BYE,15:H:J,12:H:M,21:H:M,12:A:L,19:H:M,17:H:D,18:H:L,16:H:D,20:H:J,14:A:M
14,13:A:S,BYE,12:H:L,18:H:D,19:H:M,20:H:S,16:H:M,12:A:J,21:H:S,15:H:D,17:H:J,13:H:M
15,16:A:L,20:H:L,13:A:J,21:H:D,18:H:L,17:H:M,BYE,16:H:J,12:A:J,14:A:D,19:H:L,17:A:L
16,15:H:L,BYE,17:H:S,20:H:J,12:A:L,21:H:D,14:A:M,15:A:J,17:A:D,13:A:D,18:H:S,19:H:M
17,21:H:J,12:A:L,16:A:S,19:H:L,20:H:L,15:A:M,18:H:M,13:A:D,16:H:D,BYE,14:A:J,15:H:L
18,19:H:J,BYE,20:A:S,14:A:D,15:A:L,19:A:M,17:A:M,21:H:S,13:A:L,20:H:J,16:A:S,12:A:J
19,18:A:J,22:H:D,BYE,17:A:L,14:A:M,18:H:M,13:A:M,20:H:M,20:A:S,12:A:J,15:A:L,16:A:M
20,BYE,15:A:L,18:H:S,16:A:J,17:A:L,14:A:S,12:A:S,19:A:M,19:H:S,18:A:J,13:A:J,22:H:J
21,17:A:J,23:A:S,23:H:S,15:A:D,13:A:M,16:A:D,22:H:S,18:A:S,14:A:S,22:A:J,12:A:D,BYE
22,23:A:J,19:A:D,11:A:D,11:H:J,10:H:D,10:A:L,21:A:S,23:H:S,BYE,21:H:J,23:A:S,20:A:J
23,22:H:J,21:H:S,21:A:S,10:A:M,11:H:D,11:A:S,10:H:S,22:A:S,11:A:M,BYE,22:H:S,11:A:L
