run;instance;seed;stop_reason;time_ms;generations;max_generations;pareto_size;stagnation_threshold;stagnation_window;run_dir
1;config/instance_nfl.properties;575346467;stagnation;3401;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_001
2;config/instance_nfl.properties;690022610;stagnation;36382;187;1000;5;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_002
3;config/instance_nfl.properties;1424257266;stagnation;5960;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_003
4;config/instance_nfl.properties;760871889;stagnation;39257;100;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_004
5;config/instance_nfl.properties;890474447;stagnation;34089;141;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_005
6;config/instance_nfl.properties;1455500169;stagnation;20600;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_006
7;config/instance_nfl.properties;212517704;stagnation;16646;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_007
8;config/instance_nfl.properties;934060570;stagnation;14388;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_008
9;config/instance_nfl.properties;1124114628;stagnation;34801;100;1000;5;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_009
10;config/instance_nfl.properties;765843637;stagnation;16502;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_010
11;config/instance_nfl.properties;1502474994;stagnation;22553;100;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_011
12;config/instance_nfl.properties;1349829717;stagnation;19887;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_012
13;config/instance_nfl.properties;1493661747;stagnation;31109;100;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_013
14;config/instance_nfl.properties;734959693;stagnation;10611;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_014
15;config/instance_nfl.properties;891998443;stagnation;28081;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_015
16;config/instance_nfl.properties;1660981312;stagnation;32733;100;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_016
17;config/instance_nfl.properties;1830451251;stagnation;45113;196;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_017
18;config/instance_nfl.properties;1233644345;stagnation;21265;100;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_018
19;config/instance_nfl.properties;1063465592;stagnation;11074;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_019
20;config/instance_nfl.properties;606122930;stagnation;40294;100;1000;5;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_020
21;config/instance_nfl.properties;835500794;stagnation;33461;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_021
22;config/instance_nfl.properties;1001915945;stagnation;29881;100;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_022
23;config/instance_nfl.properties;735627957;stagnation;51046;100;1000;6;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_023
24;config/instance_nfl.properties;495675644;stagnation;10925;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_024
25;config/instance_nfl.properties;550785070;stagnation;16598;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_025
26;config/instance_nfl.properties;1498800289;stagnation;39684;100;1000;5;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_026
27;config/instance_nfl.properties;937933140;stagnation;21280;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_027
28;config/instance_nfl.properties;1270431010;stagnation;46926;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_028
29;config/instance_nfl.properties;484442342;stagnation;5063;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_029
30;config/instance_nfl.properties;1709348956;stagnation;24791;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop100_cx0p6_mut0p1\corrida_030
