teamId,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11
0,BYE,9:H:L,5:H:D,2:H:D,8:H:S,1:H:S,1:A:L,7:H:D,6:H:L,4:H:L,2:A:D,3:H:M
1,2:H:J,2:A:M,4:H:L,8:H:D,3:H:S,0:A:S,0:H:L,5:H:S,9:H:S,7:H:S,6:H:M,BYE
2,1:A:J,1:H:M,3:H:L,0:A:D,7:H:L,4:H:L,8:H:D,9:H:L,5:H:M,BYE,0:H:D,6:H:M
3,5:H:S,7:H:S,2:A:L,4:A:M,1:A:S,6:H:L,4:H:J,8:H:M,BYE,5:A:M,9:H:J,0:A:M
4,9:H:M,5:H:L,1:A:L,3:H:M,5:A:L,2:A:L,3:A:J,6:H:J,8:H:L,0:A:L,7:H:J,BYE
5,3:A:S,4:A:L,0:A:D,6:H:M,4:H:L,7:H:M,9:H:L,1:A:S,2:A:M,3:H:M,8:H:D,BYE
6,7:H:M,8:H:M,9:H:J,5:A:M,BYE,3:A:L,7:A:L,4:A:J,0:A:L,8:A:D,1:A:M,2:A:M
7,6:A:M,3:A:S,8:H:D,10:H:L,2:A:L,5:A:M,6:H:L,0:A:D,BYE,1:A:S,4:A:J,8:A:L
8,10:H:D,6:A:M,7:A:D,1:A:D,0:A:S,BYE,2:A:D,3:A:M,4:A:L,6:H:D,5:A:D,7:H:L
9,4:A:M,0:A:L,6:A:J,11:H:J,10:A:L,11:A:M,5:A:L,2:A:L,1:A:S,10:H:S,3:A:J,BYE
10,8:A:D,22:A:J,11:H:S,7:A:L,9:H:L,23:A:L,11:A:D,BYE,22:H:M,9:A:S,11:A:S,23:H:L
11,22:H:D,23:H:D,10:A:S,9:A:J,22:A:J,9:H:M,10:H:D,23:A:D,23:H:L,23:H:S,10:H:S,BYE
12,BYE,21:H:M,13:H:S,20:H:L,16:H:M,15:H:S,14:H:D,14:A:D,18:H:L,19:H:M,13:A:L,17:H:M
13,17:H:S,19:H:J,12:A:S,18:H:L,14:H:D,14:A:L,20:H:M,16:H:M,21:H:D,BYE,12:H:L,15:H:M
14,19:H:S,20:H:S,18:H:J,21:H:J,13:A:D,13:H:L,12:A:D,12:H:D,16:H:M,15:H:J,17:H:J,BYE
15,16:A:D,17:H:M,21:H:J,19:H:S,BYE,12:A:S,16:H:M,20:H:J,17:A:J,14:A:J,18:H:M,13:A:M
16,15:H:D,18:H:S,17:H:S,17:A:D,12:A:M,20:H:S,15:A:M,13:A:M,14:A:M,BYE,19:H:M,21:H:M
17,13:A:S,15:A:M,16:A:S,16:H:D,19:H:J,18:H:M,21:H:M,BYE,15:H:J,20:H:J,14:A:J,12:A:M
18,20:H:S,16:A:S,14:A:J,13:A:L,20:A:L,17:A:M,19:H:J,21:H:M,12:A:L,BYE,15:A:M,19:A:J
19,14:A:S,13:A:J,20:H:M,15:A:S,17:A:J,BYE,18:A:J,22:H:S,20:A:D,12:A:M,16:A:M,18:H:J
20,18:A:S,14:A:S,19:A:M,12:A:L,18:H:L,16:A:S,13:A:M,15:A:J,19:H:D,17:A:J,BYE,22:H:J
21,23:H:D,12:A:M,15:A:J,14:A:J,23:A:D,BYE,17:A:M,18:A:M,13:A:D,22:H:L,22:A:S,16:A:M
22,11:A:D,10:H:J,23:A:J,23:A:D,11:H:J,BYE,23:H:D,19:A:S,10:A:M,21:A:L,21:H:S,20:A:J
23,21:A:D,11:A:D,22:H:J,22:H:D,21:H:D,10:H:L,22:A:D,11:H:D,11:A:L,11:A:S,BYE,10:A:L
