run;instance;seed;stop_reason;time_ms;generations;max_generations;pareto_size;stagnation_threshold;stagnation_window;run_dir
1;config/instance_nfl.properties;575346467;stagnation;6547;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_001
2;config/instance_nfl.properties;690022610;stagnation;67388;100;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_002
3;config/instance_nfl.properties;1424257266;stagnation;45730;100;1000;6;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_003
4;config/instance_nfl.properties;760871889;stagnation;63214;100;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_004
5;config/instance_nfl.properties;890474447;stagnation;45310;125;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_005
6;config/instance_nfl.properties;1455500169;stagnation;25340;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_006
7;config/instance_nfl.properties;212517704;stagnation;51088;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_007
8;config/instance_nfl.properties;934060570;stagnation;9927;107;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_008
9;config/instance_nfl.properties;1124114628;stagnation;45862;165;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_009
10;config/instance_nfl.properties;765843637;stagnation;8557;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_010
11;config/instance_nfl.properties;1502474994;stagnation;27088;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_011
12;config/instance_nfl.properties;1349829717;stagnation;14585;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_012
13;config/instance_nfl.properties;1493661747;stagnation;36180;100;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_013
14;config/instance_nfl.properties;734959693;stagnation;48861;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_014
15;config/instance_nfl.properties;891998443;stagnation;57489;185;1000;10;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_015
16;config/instance_nfl.properties;1660981312;stagnation;60125;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_016
17;config/instance_nfl.properties;1830451251;stagnation;12689;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_017
18;config/instance_nfl.properties;1233644345;stagnation;14428;100;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_018
19;config/instance_nfl.properties;1063465592;stagnation;17569;130;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_019
20;config/instance_nfl.properties;606122930;stagnation;20185;122;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_020
21;config/instance_nfl.properties;835500794;stagnation;20789;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_021
22;config/instance_nfl.properties;1001915945;stagnation;31657;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_022
23;config/instance_nfl.properties;735627957;stagnation;59164;183;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_023
24;config/instance_nfl.properties;495675644;stagnation;34876;100;1000;6;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_024
25;config/instance_nfl.properties;550785070;stagnation;52527;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_025
26;config/instance_nfl.properties;1498800289;stagnation;21121;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_026
27;config/instance_nfl.properties;937933140;stagnation;41811;144;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p01\corrida_027
