run;instance;seed;stop_reason;time_ms;generations;max_generations;pareto_size;stagnation_threshold;stagnation_window;run_dir
1;config/instance_nfl.properties;575346467;stagnation;11586;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p001\corrida_001
2;config/instance_nfl.properties;690022610;stagnation;49784;100;1000;5;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p001\corrida_002
3;config/instance_nfl.properties;1424257266;stagnation;63310;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p001\corrida_003
4;config/instance_nfl.properties;760871889;stagnation;51967;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p001\corrida_004
5;config/instance_nfl.properties;890474447;stagnation;75819;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p001\corrida_005
6;config/instance_nfl.properties;1455500169;stagnation;74589;166;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p001\corrida_006
7;config/instance_nfl.properties;212517704;stagnation;57663;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p001\corrida_007
8;config/instance_nfl.properties;934060570;stagnation;20671;110;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p001\corrida_008
9;config/instance_nfl.properties;1124114628;stagnation;46163;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p001\corrida_009
10;config/instance_nfl.properties;765843637;stagnation;22027;102;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p001\corrida_010
11;config/instance_nfl.properties;1502474994;stagnation;50239;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p001\corrida_011
12;config/instance_nfl.properties;1349829717;stagnation;80901;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p001\corrida_012
13;config/instance_nfl.properties;1493661747;stagnation;35255;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p001\corrida_013
14;config/instance_nfl.properties;734959693;stagnation;33062;122;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p001\corrida_014
15;config/instance_nfl.properties;891998443;stagnation;78274;170;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p001\corrida_015
16;config/instance_nfl.properties;1660981312;stagnation;199593;184;1000;7;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p001\corrida_016
17;config/instance_nfl.properties;1830451251;stagnation;99329;100;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p001\corrida_017
18;config/instance_nfl.properties;1233644345;stagnation;130783;216;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p001\corrida_018
19;config/instance_nfl.properties;1063465592;stagnation;35591;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p001\corrida_019
20;config/instance_nfl.properties;606122930;stagnation;43266;100;1000;5;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p001\corrida_020
21;config/instance_nfl.properties;835500794;stagnation;113950;100;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p001\corrida_021
22;config/instance_nfl.properties;1001915945;stagnation;91977;100;1000;6;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p001\corrida_022
23;config/instance_nfl.properties;735627957;stagnation;45658;138;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p001\corrida_023
24;config/instance_nfl.properties;495675644;stagnation;71053;100;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop200_cx0p8_mut0p001\corrida_024
