run;instance;seed;stop_reason;time_ms;generations;max_generations;pareto_size;stagnation_threshold;stagnation_window;run_dir
1;config/instance_nfl.properties;575346467;stagnation;6774;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p001\corrida_001
2;config/instance_nfl.properties;690022610;stagnation;80716;205;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p001\corrida_002
3;config/instance_nfl.properties;1424257266;stagnation;21180;126;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p001\corrida_003
4;config/instance_nfl.properties;760871889;stagnation;16951;104;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p001\corrida_004
5;config/instance_nfl.properties;890474447;stagnation;35954;100;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p001\corrida_005
6;config/instance_nfl.properties;1455500169;stagnation;26157;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p001\corrida_006
7;config/instance_nfl.properties;212517704;stagnation;44781;139;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p001\corrida_007
8;config/instance_nfl.properties;934060570;stagnation;9056;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p001\corrida_008
9;config/instance_nfl.properties;1124114628;stagnation;40663;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p001\corrida_009
10;config/instance_nfl.properties;765843637;stagnation;16471;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p001\corrida_010
11;config/instance_nfl.properties;1502474994;stagnation;46408;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p001\corrida_011
12;config/instance_nfl.properties;1349829717;stagnation;8588;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p001\corrida_012
13;config/instance_nfl.properties;1493661747;stagnation;16806;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p001\corrida_013
14;config/instance_nfl.properties;734959693;stagnation;14078;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p001\corrida_014
15;config/instance_nfl.properties;891998443;stagnation;49569;100;1000;4;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p001\corrida_015
16;config/instance_nfl.properties;1660981312;stagnation;42552;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p001\corrida_016
17;config/instance_nfl.properties;1830451251;stagnation;16934;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_full_batch\pop150_cx0p7_mut0p001\corrida_017
