id;f1_distancia;f2_inequidad
0;230710.94000000012;0.17154324041865754
1;189486.22000000006;0.33993463423951903
2;228275.2300000001;0.18856180831641273
3;213115.3100000001;0.21457321982639557
4;200283.64000000013;0.216626598859266
5;190040.17000000007;0.2984915781428719
6;190996.51000000004;0.247452296188354
7;216484.44000000006;0.19252525086913208
8;192750.30000000008;0.2169469341157469
9;190029.34000000005;0.3040239391159116
10;191007.34000000005;0.24547997202759056
11;192739.47000000006;0.22232202619923502
12;228863.4800000001;0.17554478694117415
13;213726.91000000015;0.20611317010052738
14;215699.4700000001;0.19432039693935035
15;215614.0700000001;0.20099578491987236
16;215087.87000000005;0.20344259359556177
17;214511.88000000012;0.20374105297329426
