teamId,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11
0,2:A:M,8:H:L,1:A:S,5:H:S,1:H:J,4:H:M,9:H:S,2:H:L,6:H:L,3:H:J,7:H:J,BYE
1,BYE,4:H:L,0:H:S,2:A:M,0:A:J,6:H:M,7:H:J,8:H:J,2:H:J,5:H:D,3:H:D,9:H:L
2,0:H:M,BYE,4:H:S,1:H:M,8:H:L,7:H:J,3:H:J,0:A:L,1:A:J,9:H:L,6:H:M,5:H:M
3,5:A:J,5:H:S,6:H:L,4:H:J,4:A:S,8:H:S,2:A:J,7:H:J,9:H:D,0:A:J,1:A:D,BYE
4,BYE,1:A:L,2:A:S,3:A:J,3:H:S,0:A:M,8:H:L,5:H:D,5:A:M,6:H:D,9:H:M,7:H:M
5,3:H:J,3:A:S,BYE,0:A:S,7:H:D,9:H:S,6:H:S,4:A:D,4:H:M,1:A:D,8:H:M,2:A:M
6,7:H:M,7:A:J,3:A:L,8:H:M,9:H:M,1:A:M,5:A:S,BYE,0:A:L,4:A:D,2:A:M,8:A:D
7,6:A:M,6:H:J,BYE,10:H:M,5:A:D,2:A:J,1:A:J,3:A:J,8:A:M,8:H:J,0:A:J,4:A:M
8,BYE,0:A:L,10:H:L,6:A:M,2:A:L,3:A:S,4:A:L,1:A:J,7:H:M,7:A:J,5:A:M,6:H:D
9,10:A:S,10:H:M,BYE,11:A:M,6:A:M,5:A:S,0:A:S,11:H:J,3:A:D,2:A:L,4:A:M,1:A:L
10,9:H:S,9:A:M,8:A:L,7:A:M,22:H:D,23:A:S,11:H:M,23:H:J,BYE,22:A:M,11:A:M,11:A:M
11,23:H:S,BYE,23:A:J,9:H:M,23:H:D,22:H:S,10:A:M,9:A:J,22:A:J,23:H:M,10:H:M,10:H:M
12,15:H:D,21:H:L,17:H:J,18:H:L,13:A:J,16:H:M,20:H:M,BYE,13:H:M,19:H:L,14:A:L,14:H:J
13,20:H:M,17:H:L,14:A:M,21:H:M,12:H:J,14:H:L,19:H:S,16:H:J,12:A:M,18:H:D,BYE,15:H:M
14,16:H:D,20:H:L,13:H:M,19:H:M,15:H:S,13:A:L,BYE,21:H:S,18:H:L,17:H:D,12:H:L,12:A:J
15,12:A:D,16:H:J,18:H:M,17:H:M,14:A:S,19:H:L,BYE,17:A:D,21:H:L,20:H:M,16:A:D,13:A:M
16,14:A:D,15:A:J,BYE,20:H:M,18:H:D,12:A:M,17:A:J,13:A:J,17:H:L,21:H:M,15:H:D,19:H:S
17,BYE,13:A:L,12:A:J,15:A:M,19:H:D,21:H:M,16:H:J,15:H:D,16:A:L,14:A:D,20:H:D,18:H:M
18,19:A:S,19:H:D,15:A:M,12:A:L,16:A:D,20:H:D,21:H:J,20:A:M,14:A:L,13:A:D,BYE,17:A:M
19,18:H:S,18:A:D,20:H:M,14:A:M,17:A:D,15:A:L,13:A:S,22:H:M,20:A:J,12:A:L,BYE,16:A:S
20,13:A:M,14:A:L,19:A:M,16:A:M,BYE,18:A:D,12:A:M,18:H:M,19:H:J,15:A:M,17:A:D,22:H:L
21,22:H:S,12:A:L,22:A:M,13:A:M,BYE,17:A:M,18:A:J,14:A:S,15:A:L,16:A:M,23:H:S,23:A:D
22,21:A:S,23:A:D,21:H:M,23:H:L,10:A:D,11:A:S,23:A:D,19:A:M,11:H:J,10:H:M,BYE,20:A:L
23,11:A:S,22:H:D,11:H:J,22:A:L,11:A:D,10:H:S,22:H:D,10:A:J,BYE,11:A:M,21:A:S,21:H:D
