id;f1_distancia;f2_inequidad
0;260136.08999999994;0.618630740470885
1;269611.6099999999;0.3685424910486352
2;268507.70999999996;0.4364757355321523
3;265014.3899999999;0.45759291520047246
4;261239.98999999993;0.5942979927331631
5;263910.48999999993;0.5036487956651936
6;269453.62999999995;0.39304804051512304
7;268665.68999999994;0.4187124257603435
8;264856.4099999999;0.4720658186659757
9;264068.4699999999;0.4936390082703262
10;260518.7499999999;0.6158179689107272
11;261082.00999999995;0.5993884325339917
12;260294.06999999992;0.616522364873237
