id;f1_distancia;f2_inequidad
0;209570.63000000015;0.35813948244907173
1;218263.23000000007;0.2030582155168535
2;215966.80000000008;0.21921577396609845
3;213805.91000000006;0.24438130497691982
4;213785.6100000001;0.25481474752367766
5;212125.0900000001;0.2707692231813325
6;211505.4400000001;0.31841621957571337
7;209844.92000000013;0.3322639094989939
8;211871.10000000012;0.298491578142872
9;212104.79000000015;0.2791044706835697
10;209590.93000000014;0.3543381937578217
11;209824.62000000014;0.3372427002751711
12;211850.80000000016;0.3050500869620522
13;211525.74000000008;0.3121386800054674
