teamId,W0,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11
0,1:A:M,BYE,6:H:M,3:H:M,4:H:J,1:H:M,7:H:J,2:A:D,9:H:M,2:H:J,5:H:S,8:H:M
1,0:H:M,BYE,9:H:L,2:A:J,6:H:M,0:A:M,4:H:S,7:H:D,8:H:J,5:H:M,2:H:M,3:H:M
2,6:H:J,8:H:M,3:H:L,1:H:J,5:H:M,7:H:L,BYE,0:H:D,4:H:D,0:A:J,1:A:M,9:H:J
3,7:H:M,4:H:M,2:A:L,0:A:M,9:H:J,8:H:M,5:H:M,6:H:M,5:A:M,BYE,4:A:J,1:A:M
4,5:A:L,3:A:M,8:H:J,5:H:D,0:A:J,6:H:D,1:A:S,9:H:M,2:A:D,7:H:M,3:H:J,BYE
5,4:H:L,BYE,7:H:J,4:A:D,2:A:M,9:H:S,3:A:M,8:H:J,3:H:M,1:A:M,0:A:S,6:H:L
6,2:A:J,7:A:D,0:A:M,8:A:M,1:A:M,4:A:D,9:H:J,3:A:M,7:H:D,8:H:S,BYE,5:A:L
7,3:A:M,6:H:D,5:A:J,10:H:S,8:H:J,2:A:L,0:A:J,1:A:D,6:A:D,4:A:M,8:A:D,BYE
8,10:H:J,2:A:M,4:A:J,6:H:M,7:A:J,3:A:M,BYE,5:A:J,1:A:J,6:A:S,7:H:D,0:A:M
9,11:H:S,10:H:M,1:A:L,11:A:M,3:A:J,5:A:S,6:A:J,4:A:M,0:A:M,BYE,10:A:L,2:A:J
10,8:A:J,9:A:M,23:A:S,7:A:S,22:H:M,11:H:M,BYE,23:H:J,11:A:M,11:A:S,9:H:L,22:A:D
11,9:A:S,23:H:L,BYE,9:H:M,23:A:J,10:A:M,22:A:M,22:H:D,10:H:M,10:H:S,23:H:S,23:H:D
12,17:H:L,BYE,13:H:M,15:H:M,13:A:J,20:H:M,18:H:L,14:A:L,16:H:S,14:H:D,19:H:D,21:H:D
13,19:H:S,14:H:M,12:A:M,20:H:S,12:H:J,18:H:D,14:A:D,21:H:M,17:H:L,16:H:M,BYE,15:H:S
14,16:H:S,13:A:M,20:H:S,18:H:J,21:H:L,17:H:M,13:H:D,12:H:L,BYE,12:A:D,15:H:M,19:H:J
15,20:H:D,21:H:M,17:H:M,12:A:M,17:A:J,16:H:M,16:A:M,19:H:M,18:H:L,BYE,14:A:M,13:A:S
16,14:A:S,17:H:S,BYE,21:H:S,19:H:L,15:A:M,15:H:M,17:A:M,12:A:S,13:A:M,18:H:D,20:H:S
17,12:A:L,16:A:S,15:A:M,19:H:D,15:H:J,14:A:M,BYE,16:H:M,13:A:L,20:H:D,21:H:M,18:H:L
18,21:H:M,20:A:J,19:A:J,14:A:J,20:H:M,13:A:D,12:A:L,BYE,15:A:L,19:H:J,16:A:D,17:A:L
19,13:A:S,22:H:L,18:H:J,17:A:D,16:A:L,BYE,20:A:L,15:A:M,20:H:L,18:A:J,12:A:D,14:A:J
20,15:A:D,18:H:J,14:A:S,13:A:S,18:A:M,12:A:M,19:H:L,BYE,19:A:L,17:A:D,22:H:L,16:A:S
21,18:A:M,15:A:M,22:A:D,16:A:S,14:A:L,22:H:D,23:H:M,13:A:M,BYE,23:A:S,17:A:M,12:A:D
22,23:A:D,19:A:L,21:H:D,23:H:S,10:A:M,21:A:D,11:H:M,11:A:D,23:A:D,BYE,20:A:L,10:H:D
23,22:H:D,11:A:L,10:H:S,22:A:S,11:H:J,BYE,21:A:M,10:A:J,22:H:D,21:H:S,11:A:S,11:A:D
