run;instance;seed;stop_reason;time_ms;generations;max_generations;pareto_size;stagnation_threshold;stagnation_window;run_dir
1;config/instance_nfl_intermedia.properties;575346467;stagnation;5082;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_001
2;config/instance_nfl_intermedia.properties;690022610;stagnation;6476;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_002
3;config/instance_nfl_intermedia.properties;1424257266;stagnation;4019;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_003
4;config/instance_nfl_intermedia.properties;760871889;stagnation;3958;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_004
5;config/instance_nfl_intermedia.properties;890474447;stagnation;4295;106;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_005
6;config/instance_nfl_intermedia.properties;1455500169;stagnation;7180;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_006
7;config/instance_nfl_intermedia.properties;212517704;stagnation;4142;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_007
8;config/instance_nfl_intermedia.properties;934060570;stagnation;3409;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_008
9;config/instance_nfl_intermedia.properties;1124114628;stagnation;4679;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_009
10;config/instance_nfl_intermedia.properties;765843637;stagnation;24060;168;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_010
11;config/instance_nfl_intermedia.properties;1502474994;stagnation;18341;120;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_011
12;config/instance_nfl_intermedia.properties;1349829717;stagnation;4276;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_012
13;config/instance_nfl_intermedia.properties;1493661747;stagnation;4032;103;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_013
14;config/instance_nfl_intermedia.properties;734959693;stagnation;10213;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_014
15;config/instance_nfl_intermedia.properties;891998443;stagnation;62614;280;1000;6;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_015
16;config/instance_nfl_intermedia.properties;1660981312;stagnation;10262;163;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_016
17;config/instance_nfl_intermedia.properties;1830451251;stagnation;13905;100;1000;3;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_017
18;config/instance_nfl_intermedia.properties;1233644345;stagnation;4328;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_018
19;config/instance_nfl_intermedia.properties;1063465592;stagnation;7209;135;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_019
20;config/instance_nfl_intermedia.properties;606122930;stagnation;5597;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_020
21;config/instance_nfl_intermedia.properties;835500794;stagnation;6925;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_021
22;config/instance_nfl_intermedia.properties;1001915945;stagnation;5437;102;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_022
23;config/instance_nfl_intermedia.properties;735627957;stagnation;3566;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_023
24;config/instance_nfl_intermedia.properties;495675644;stagnation;6412;123;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_024
25;config/instance_nfl_intermedia.properties;550785070;stagnation;3537;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_025
26;config/instance_nfl_intermedia.properties;1498800289;stagnation;4046;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_026
27;config/instance_nfl_intermedia.properties;937933140;stagnation;6263;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_027
28;config/instance_nfl_intermedia.properties;1270431010;stagnation;4924;100;1000;2;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_028
29;config/instance_nfl_intermedia.properties;484442342;stagnation;7562;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_029
30;config/instance_nfl_intermedia.properties;1709348956;stagnation;5603;100;1000;1;0.005;100;C:\AE\AlgoritmoEvolutivoIng\AlgoritmoEvolutivo\resultados_moea\run_moea_intermedia_batch\pop150_cx0p6_mut0p1\corrida_030
